" There was an error occurred during paying process."," There was an error occurred during paying process."
"Bank","Bank"
"Credit Mutuel","Credit Mutuel"
"Customer returned from Epcss.","Customer returned from Epcss."
"Customer successfully returned from Epcss","Customer successfully returned from Epcss"
"Customer was redirected to Epcss","Customer was redirected to Epcss"
"Epcss Payment", "Epcss Payment"
"Service Type","Service Type"
"Default Epcss Interface language","Default Epcss Interface language"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Error occured","Error occured"
"French","French"
"German","German"
"Groupe CIC","Groupe CIC"
"Italian","Italian"
"Key","Key"
"New order status","New order status"
"OBC","OBC"
"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Order status when payment accepted by Epcss", "Order status when payment accepted by Epcss"
"Order status when payment refused by Epcss", "Order status when payment refused by Epcss"
"Payment accepted by Epcss", "Payment accepted by Epcss"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment refused by Epcss", "Payment refused by Epcss"
"Preference will be given to store language chosen by the user", "Preference will be given to store language chosen by the user"
"Returned MAC is invalid. Order cancelled.","Returned MAC is invalid. Order cancelled."
"SHA key","SHA key"
"Site code","Site code"
"Sort order","Sort order"
"Spain","Spain"
"TPE number","TPE number"
"Test mode","Test mode"
"There was an error occurred during paying process.","There was an error occurred during paying process."
"Title","Title"
"Transaction Description","Transaction Description"
"You will be redirected to Epcss in a few seconds.","You will be redirected to Epcss in a few seconds."
"You will be redirected to Epcss website when you place an order.","You will be redirected to Epcss website when you place an order."
"Products","Products"
"Virtual Products","Virtual Products"
